1001835.LiB   -4.471568    Li_2     B_2
1222413.LiB3   -5.745253    Li_4    B_12
569304.C   -9.224300     C_4
576.B13C2   -7.111744     C_2    B_13
1021323.LiC12   -8.669828    Li_1    C_12
569450.LiB6C   -6.666234    Li_2     C_2    B_12
160.B   -6.704059    B_12
638070.LiB13C2   -6.892300    Li_2     C_4    B_26
9244.LiBC   -6.323490    Li_2     C_2     B_2
1238815.B4C   -7.309247     C_3    B_12
1018134.Li   -1.900677    Li_3
10172.Na   -1.315015    Na_2
2315.NaB15   -6.422315    Na_2    B_30
262.Na3B20   -6.067531    Na_3    B_20
763.MgB2   -5.109192    Mg_1     B_2
1094122.Mg   -1.506875    Mg_3
568803.MgB12C2   -6.863780    Mg_2     C_4    B_24
978275.MgB7   -6.187558    Mg_4    B_28
365.MgB4   -5.806443    Mg_4    B_16
3582.MgB2C2   -6.824440    Mg_8    C_16    B_16
568556.Mg2B24C   -6.546379    Mg_4     C_2    B_48
1076.KB6   -5.924294     K_1     B_6
1184905.K   -1.036169    K_20
28930.KC8   -8.344888     K_2    C_16
132.Ca   -1.927229    Ca_2
10289.CaB2C2   -7.090114    Ca_2     C_4     B_4
865.CaB6   -6.430037    Ca_1     B_6
1213975.CaB4   -6.140880    Ca_4    B_16
10343.Sc2BC2   -8.090305    Sc_2     C_2     B_1
2252.ScB2   -7.386375    Sc_1     B_2
29941.Sc2C   -7.641654    Sc_2     C_1
67.Sc   -6.200284    Sc_2
8772.ScB12   -6.873036    Sc_1    B_12
15661.Sc4C3   -7.998785    Sc_8     C_6
28733.Sc3C4   -8.346650   Sc_30    C_40
1196316.Cr7C3   -9.512665   Cr_56    C_24
1080664.CrB   -8.620225    Cr_4     B_4
1078278.CrB4   -7.566726    Cr_2     B_8
90.Cr   -9.487041    Cr_2
15617.Cr5B3   -8.859466   Cr_10     B_6
723.Cr23C6   -9.513098   Cr_23     C_6
20937.Cr3C2   -9.482703   Cr_12     C_8
569424.Cr2B   -8.932413    Cr_8     B_4
1145.TiB2   -8.101390    Ti_1     B_2
7857.TiB   -8.051498    Ti_4     B_4
27919.Ti8C5   -9.012653    Ti_8     C_5
72.Ti   -7.776415    Ti_3
1025170.Ti3B4   -8.077513    Ti_3     B_4
10721.Ti2C   -8.859261    Ti_8     C_4
631.TiC   -9.262829    Ti_1     C_1
1206441.V5B6   -8.537838     V_5     B_6
569270.V3B4   -8.469510     V_3     B_4
28731.V6C5   -9.592577    V_18    C_15
1491.VB2   -8.180905     V_1     B_2
2091.V3B2   -8.759137     V_6     B_4
146.V   -8.947631     V_1
9208.V2B3   -8.386413     V_4     B_6
20648.V2C   -9.481850     V_8     C_4
9973.VB   -8.656447     V_2     B_2
20318.Mn2B   -8.617314    Mn_4     B_2
1106184.MnB4   -7.447675    Mn_4    B_16
35.Mn   -8.978066   Mn_29
10118.Mn3B4   -8.054850    Mn_3     B_4
21256.Mn7C3   -9.123285   Mn_28    C_12
542830.Mn23C6   -9.122889   Mn_23     C_6
1222165.Mn23B2C4   -8.992953   Mn_23     C_4     B_2
1080525.FeB   -7.851189    Fe_4     B_4
1194531.Fe2B7   -7.234768   Fe_16    B_56
13.Fe   -8.238254    Fe_1
1079437.FeB4   -7.179933    Fe_2     B_8
1915.Fe2B   -8.037046    Fe_4     B_2
20857.CoB   -7.273019    Co_4     B_4
54.Co   -7.032262    Co_2
2058.Ni3B   -6.041041   Ni_12     B_4
2536.Ni2B   -6.171657    Ni_4     B_2
23.Ni   -5.468355    Ni_1
640067.Ni4B3   -6.279874   Ni_16    B_12
30.Cu   -3.727968    Cu_1
79.Zn   -1.114856    Zn_2
1187739.Y   -6.430561     Y_3
1078866.YB2C2   -8.109944     Y_2     C_4     B_4
637.YB4   -7.249355     Y_4    B_16
9880.YB2C   -7.806996     Y_8     C_8    B_16
1200613.Y3C4   -8.366885    Y_30    C_40
9459.Y4C5   -8.329612     Y_8    C_10
1200885.Y4C7   -8.513595    Y_16    C_28
1542.YB2   -7.194080     Y_1     B_2
7817.YB12   -6.928698     Y_1    B_12
1334.Y2C   -7.679267     Y_2     C_1
29896.Y2B3C2   -7.864895     Y_2     C_2     B_3
684623.Zr10C9   -9.705378   Zr_20    C_18
131.Zr   -8.521119    Zr_2
1472.ZrB2   -8.326999    Zr_1     B_2
2795.ZrC   -9.729750    Zr_1     C_1
20689.Nb3B2   -9.474577    Nb_6     B_4
75.Nb  -10.222823    Nb_1
1080021.Nb2B3   -8.895180    Nb_4     B_6
10255.Nb3B4   -9.008400    Nb_3     B_4
2760.Nb6C5  -10.393900    Nb_6     C_5
569989.Nb2C  -10.410105    Nb_8     C_4
29981.Nb7B4C4   -9.709971    Nb_7     C_4     B_4
2580.NbB   -9.263044    Nb_2     B_2
450.NbB2   -8.611196    Nb_1     B_2
2331.B2Mo   -8.563134    Mo_2     B_4
1552.Mo2C  -10.482460    Mo_8     C_4
129.Mo  -10.949908    Mo_1
1890.BMo   -9.339150    Mo_4     B_4
113.Tc  -10.371746    Tc_2
1087495.Tc3B   -9.721449    Tc_6     B_2
1019317.TcB2   -8.362704    Tc_2     B_4
978989.Tc7B3   -9.582391   Tc_14     B_6
1077.B2Ru   -7.834874    Ru_2     B_4
33.Ru   -9.249819    Ru_2
13854.B3Ru2   -8.046377    Ru_4     B_6
567164.BRh   -7.377631    Rh_2     B_2
74.Rh   -7.276199    Rh_1
567926.B4Rh5   -7.387406   Rh_10     B_8
1106065.B3Rh7   -7.351036   Rh_14     B_6
1077788.BPt2   -6.481995    Pt_4     B_2
126.Pt   -6.087561    Pt_1
989737.Ag   -2.712659    Ag_3
94.Cd   -0.749884    Cd_2
1018122.Tm  -4.470652 Tm_3 
1025183.Ho2B4C  -7.019273 Ho_2 B_4 C_1 
1025246.Er2B4C  -7.024477 Er_2 B_4 C_1 
1025379.Tb2B4C  -7.006897 Tb_2 B_4 C_1 
10289.Ca(BC)2  -7.090122 Ca_2 B_4 C_4 
